location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Brunei,BRN,2/4/2021,0,0,,,,,0,0,,,,,
Brunei,BRN,3/4/2021,754,754,,,754,754,0.17,0.17,,,1679,754,0.168
Brunei,BRN,4/4/2021,822,822,,,68,411,0.18,0.18,,,915,411,0.092
Brunei,BRN,5/4/2021,1214,1214,,,392,405,0.27,0.27,,,902,405,0.09
Brunei,BRN,6/4/2021,2560,2560,,,1346,640,0.57,0.57,,,1425,640,0.143
Brunei,BRN,7/4/2021,3194,3194,,,634,639,0.71,0.71,,,1423,639,0.142
Brunei,BRN,8/4/2021,4026,4026,,,832,671,0.9,0.9,,,1494,671,0.149
Brunei,BRN,9/4/2021,4341,4341,,,315,620,0.97,0.97,,,1381,620,0.138
Brunei,BRN,10/4/2021,5028,5028,,,687,611,1.12,1.12,,,1361,611,0.136
Brunei,BRN,11/4/2021,5145,5145,,,117,618,1.15,1.15,,,1376,618,0.138
Brunei,BRN,12/4/2021,6090,6090,,,945,697,1.36,1.36,,,1552,697,0.155
Brunei,BRN,13/4/2021,6638,6638,,,548,583,1.48,1.48,,,1298,583,0.13
Brunei,BRN,14/4/2021,6701,6701,,,63,501,1.49,1.49,,,1116,501,0.112
Brunei,BRN,15/4/2021,7503,7503,,,802,497,1.67,1.67,,,1107,497,0.111
Brunei,BRN,16/4/2021,7725,7725,,,222,483,1.72,1.72,,,1076,483,0.108
Brunei,BRN,17/4/2021,8454,8454,,,729,489,1.88,1.88,,,1089,489,0.109
Brunei,BRN,18/4/2021,,,,,,519,,,,,1156,519,0.116
Brunei,BRN,19/4/2021,9099,9099,,,,430,2.03,2.03,,,958,430,0.096
Brunei,BRN,20/4/2021,9861,9861,,,762,460,2.2,2.2,,,1024,460,0.102
Brunei,BRN,21/4/2021,10715,10715,,,854,573,2.39,2.39,,,1276,573,0.128
Brunei,BRN,22/4/2021,11506,11506,,,791,572,2.56,2.56,,,1274,572,0.127
Brunei,BRN,23/4/2021,,,,,,599,,,,,1334,599,0.133
Brunei,BRN,24/4/2021,12324,12324,,,,553,2.74,2.74,,,1232,553,0.123
Brunei,BRN,25/4/2021,,,,,,551,,,,,1227,544,0.121
Brunei,BRN,26/4/2021,12947,12842,105,,,550,2.88,2.86,0.02,,1225,535,0.119
Brunei,BRN,27/4/2021,13485,13363,122,,538,518,3,2.98,0.03,,1154,500,0.111
Brunei,BRN,28/4/2021,14126,13898,228,,641,487,3.15,3.1,0.05,,1085,455,0.101
Brunei,BRN,29/4/2021,14876,14526,350,,750,481,3.31,3.24,0.08,,1071,431,0.096
Brunei,BRN,30/4/2021,,,,,,460,,,,,1024,391,0.087
Brunei,BRN,1/5/2021,,,,,,438,,,,,975,352,0.078
Brunei,BRN,2/5/2021,,,,,,430,,,,,958,333,0.074
Brunei,BRN,3/5/2021,15905,15043,862,,,423,3.54,3.35,0.19,,942,314,0.07
Brunei,BRN,4/5/2021,16632,15441,1191,,727,450,3.7,3.44,0.27,,1002,297,0.066
Brunei,BRN,5/5/2021,17776,15989,1787,,1144,521,3.96,3.56,0.4,,1160,299,0.067
Brunei,BRN,6/5/2021,19163,16764,2399,,1387,612,4.27,3.73,0.53,,1363,320,0.071
Brunei,BRN,7/5/2021,,,,,,706,,,,,1572,376,0.084
Brunei,BRN,8/5/2021,20990,17811,3179,,,800,4.67,3.97,0.71,,1782,432,0.096
Brunei,BRN,9/5/2021,21030,17811,3219,,40,769,4.68,3.97,0.72,,1713,414,0.092
Brunei,BRN,10/5/2021,23188,19108,4080,,2158,1040,5.16,4.26,0.91,,2316,581,0.129
Brunei,BRN,11/5/2021,25065,20218,4847,,1877,1205,5.58,4.5,1.08,,2684,682,0.152
Brunei,BRN,12/5/2021,,,,,,1102,,,,,2454,646,0.144
Brunei,BRN,13/5/2021,,,,,,965,,,,,2149,576,0.128
Brunei,BRN,14/5/2021,,,,,,895,,,,,1993,543,0.121
Brunei,BRN,15/5/2021,,,,,,826,,,,,1840,510,0.114
Brunei,BRN,16/5/2021,,,,,,881,,,,,1962,551,0.123
Brunei,BRN,17/5/2021,,,,,,634,,,,,1412,408,0.091
Brunei,BRN,18/5/2021,28051,22252,5799,,,427,6.25,4.96,1.29,,951,291,0.065
Brunei,BRN,19/5/2021,,,,,,616,,,,,1372,381,0.085
Brunei,BRN,20/5/2021,,,,,,805,,,,,1793,472,0.105
Brunei,BRN,21/5/2021,33305,25032,8273,,,994,7.42,5.58,1.84,,2214,563,0.125
Brunei,BRN,22/5/2021,35946,27233,8713,,2641,1311,8.01,6.07,1.94,,2920,836,0.186
Brunei,BRN,23/5/2021,,,,,,1465,,,,,3263,966,0.215
Brunei,BRN,24/5/2021,38964,29633,9331,,,1620,8.68,6.6,2.08,,3608,1096,0.244
Brunei,BRN,25/5/2021,42146,32247,9899,,3182,2014,9.39,7.18,2.2,,4486,1428,0.318
Brunei,BRN,26/5/2021,45802,35308,10494,,3656,2286,10.2,7.86,2.34,,5091,1733,0.386
Brunei,BRN,27/5/2021,49371,38422,10949,,3569,2545,11,8.56,2.44,,5668,2045,0.455
Brunei,BRN,28/5/2021,49425,38458,10967,,54,2303,11.01,8.57,2.44,,5129,1918,0.427
Brunei,BRN,29/5/2021,52775,41655,11120,,3350,2404,11.75,9.28,2.48,,5354,2060,0.459
Brunei,BRN,30/5/2021,,,,,,2271,,,,,5058,1965,0.438
Brunei,BRN,31/5/2021,,,,,,2138,,,,,4762,1869,0.416
Brunei,BRN,1/6/2021,,,,,,1766,,,,,3933,1572,0.35
Brunei,BRN,2/6/2021,55085,43779,11306,,,1326,12.27,9.75,2.52,,2953,1210,0.269
Brunei,BRN,3/6/2021,,,,,,912,,,,,2031,858,0.191
Brunei,BRN,4/6/2021,,,,,,1001,,,,,2229,946,0.211
Brunei,BRN,5/6/2021,,,,,,618,,,,,1376,583,0.13
Brunei,BRN,6/6/2021,,,,,,632,,,,,1408,600,0.134
Brunei,BRN,7/6/2021,58450,47040,11410,,,646,13.02,10.48,2.54,,1439,618,0.138
Brunei,BRN,8/6/2021,,,,,,685,,,,,1526,662,0.147
Brunei,BRN,9/6/2021,60156,48719,11437,,,724,13.4,10.85,2.55,,1612,706,0.157
Brunei,BRN,10/6/2021,61225,49763,11462,,1069,781,13.64,11.08,2.55,,1739,762,0.17
Brunei,BRN,11/6/2021,61289,49825,11464,,64,694,13.65,11.1,2.55,,1546,677,0.151
Brunei,BRN,12/6/2021,,,,,,673,,,,,1499,657,0.146
Brunei,BRN,13/6/2021,62343,50846,11497,,,652,13.88,11.32,2.56,,1452,637,0.142
Brunei,BRN,14/6/2021,63486,51908,11578,,1143,719,14.14,11.56,2.58,,1601,695,0.155
Brunei,BRN,15/6/2021,,,,,,716,,,,,1595,683,0.152
Brunei,BRN,16/6/2021,,,,,,712,,,,,1586,670,0.149
Brunei,BRN,17/6/2021,65972,54164,11808,,,678,14.69,12.06,2.63,,1510,629,0.14
Brunei,BRN,18/6/2021,66038,54222,11816,,66,678,14.71,12.08,2.63,,1510,628,0.14
Brunei,BRN,19/6/2021,66972,55005,11967,,934,737,14.92,12.25,2.67,,1641,667,0.149
Brunei,BRN,20/6/2021,,,,,,869,,,,,1935,762,0.17
Brunei,BRN,21/6/2021,69877,57353,12524,,,913,15.56,12.77,2.79,,2033,778,0.173
Brunei,BRN,22/6/2021,,,,,,983,,,,,2189,844,0.188
Brunei,BRN,23/6/2021,,,,,,1053,,,,,2345,910,0.203
Brunei,BRN,24/6/2021,,,,,,1123,,,,,2501,977,0.218
Brunei,BRN,25/6/2021,,,,,,1302,,,,,2900,1142,0.254
Brunei,BRN,26/6/2021,76471,63432,13039,,,1357,17.03,14.13,2.9,,3022,1204,0.268
Brunei,BRN,27/6/2021,,,,,,1370,,,,,3051,1226,0.273
Brunei,BRN,28/6/2021,79554,66091,13463,,,1382,17.72,14.72,3,,3078,1248,0.278
Brunei,BRN,29/6/2021,82193,67828,14365,,2639,1571,18.31,15.11,3.2,,3499,1323,0.295
Brunei,BRN,30/6/2021,84458,69737,14721,,2265,1706,18.81,15.53,3.28,,3800,1422,0.317
Brunei,BRN,1/7/2021,87409,72300,15109,,2951,1939,19.47,16.1,3.37,,4318,1614,0.359
Brunei,BRN,2/7/2021,87792,72680,15112,,383,1806,19.55,16.19,3.37,,4022,1495,0.333
Brunei,BRN,3/7/2021,91146,75584,15562,,3354,2096,20.3,16.83,3.47,,4668,1736,0.387
Brunei,BRN,4/7/2021,92295,76733,15562,,1149,2040,20.56,17.09,3.47,,4543,1710,0.381
Brunei,BRN,5/7/2021,96017,80057,15960,,3722,2352,21.38,17.83,3.55,,5238,1995,0.444
Brunei,BRN,6/7/2021,99795,83545,16250,,3778,2515,22.23,18.61,3.62,,5601,2245,0.5
Brunei,BRN,7/7/2021,103633,87033,16600,,3838,2739,23.08,19.38,3.7,,6100,2471,0.55
Brunei,BRN,8/7/2021,107767,90500,17267,,4134,2908,24,20.16,3.85,,6477,2600,0.579
Brunei,BRN,9/7/2021,108457,91140,17317,,690,2952,24.16,20.3,3.86,,6575,2637,0.587
Brunei,BRN,10/7/2021,,,,,,2930,,,,,6526,2631,0.586
Brunei,BRN,11/7/2021,,,,,,3222,,,,,7176,2876,0.641
Brunei,BRN,12/7/2021,,,,,,3147,,,,,7009,2810,0.626
Brunei,BRN,13/7/2021,121241,102586,18655,,,3064,27,22.85,4.15,,6824,2720,0.606
Brunei,BRN,14/7/2021,,,,,,2730,,,,,6080,2411,0.537
Brunei,BRN,15/7/2021,,,,,,2354,,,,,5243,2105,0.469
Brunei,BRN,16/7/2021,125751,106556,19195,,,2471,28.01,23.73,4.28,,5503,2202,0.49
Brunei,BRN,17/7/2021,,,,,,2431,,,,,5414,2134,0.475
Brunei,BRN,18/7/2021,,,,,,2391,,,,,5325,2065,0.46
Brunei,BRN,19/7/2021,134505,113703,20802,,,2351,29.96,25.32,4.63,,5236,1997,0.445
Brunei,BRN,20/7/2021,,,,,,2138,,,,,4762,1806,0.402
Brunei,BRN,21/7/2021,137910,116753,21157,,,2167,30.71,26,4.71,,4826,1835,0.409
Brunei,BRN,22/7/2021,,,,,,2245,,,,,5000,1858,0.414
Brunei,BRN,23/7/2021,142014,119721,22293,,,2323,31.63,26.66,4.97,,5174,1881,0.419
Brunei,BRN,24/7/2021,145503,122229,23274,,3489,2405,32.41,27.22,5.18,,5356,1899,0.423
Brunei,BRN,25/7/2021,146727,123390,23337,,1224,2163,32.68,27.48,5.2,,4817,1724,0.384
Brunei,BRN,26/7/2021,150102,126050,24052,,3375,2228,33.43,28.07,5.36,,4962,1764,0.393
Brunei,BRN,27/7/2021,,,,,,2447,,,,,5450,1862,0.415
Brunei,BRN,28/7/2021,156576,130469,26107,,,2667,34.87,29.06,5.81,,5940,1959,0.436
Brunei,BRN,29/7/2021,159954,132446,27508,,3378,2856,35.62,29.5,6.13,,6361,2030,0.452
Brunei,BRN,30/7/2021,160497,132793,27704,,543,2640,35.75,29.58,6.17,,5880,1867,0.416
Brunei,BRN,31/7/2021,163999,134829,29170,,3502,2642,36.53,30.03,6.5,,5884,1800,0.401
Brunei,BRN,1/8/2021,,,,,,2826,,,,,6294,1814,0.404
Brunei,BRN,2/8/2021,169025,137345,31680,,,2703,37.64,30.59,7.06,,6020,1614,0.359
Brunei,BRN,3/8/2021,173245,139555,33690,,4220,2844,38.58,31.08,7.5,,6334,1614,0.359
Brunei,BRN,4/8/2021,177628,141754,35874,,4383,3007,39.56,31.57,7.99,,6697,1612,0.359
Brunei,BRN,5/8/2021,,,,,,3032,,,,,6753,1612,0.359
Brunei,BRN,6/8/2021,,,,,,3461,,,,,7708,1845,0.411
Brunei,BRN,7/8/2021,188277,147685,40592,,,3468,41.93,32.89,9.04,,7724,1837,0.409
Brunei,BRN,8/8/2021,189927,148510,41417,,1650,3345,42.3,33.08,9.22,,7450,1775,0.395
Brunei,BRN,9/8/2021,,,,,,3452,,,,,7688,1878,0.418
Brunei,BRN,10/8/2021,196457,152474,43983,,,3316,43.75,33.96,9.8,,7385,1846,0.411
Brunei,BRN,11/8/2021,201441,155001,46440,,4984,3402,44.86,34.52,10.34,,7577,1892,0.421
Brunei,BRN,12/8/2021,,,,,,3511,,,,,7820,1953,0.435
Brunei,BRN,13/8/2021,,,,,,3620,,,,,8062,2013,0.448
Brunei,BRN,14/8/2021,214385,162199,52186,,,3730,47.75,36.12,11.62,,8307,2073,0.462
Brunei,BRN,15/8/2021,,,,,,4253,,,,,9472,2388,0.532
Brunei,BRN,16/8/2021,,,,,,4546,,,,,10125,2538,0.565
Brunei,BRN,17/8/2021,230324,171283,59041,,,4838,51.3,38.15,13.15,,10775,2687,0.598
Brunei,BRN,18/8/2021,,,,,,4907,,,,,10929,2780,0.619
Brunei,BRN,19/8/2021,,,,,,5071,,,,,11294,2891,0.644
Brunei,BRN,20/8/2021,246716,180812,65904,,,5235,54.95,40.27,14.68,,11659,3002,0.669
Brunei,BRN,21/8/2021,,,,,,5591,,,,,12452,3264,0.727
Brunei,BRN,22/8/2021,,,,,,5804,,,,,12926,3436,0.765
Brunei,BRN,23/8/2021,267132,193511,73621,,,6017,59.49,43.1,16.4,,13401,3608,0.804
Brunei,BRN,24/8/2021,,,,,,6564,,,,,14619,4000,0.891
Brunei,BRN,25/8/2021,285414,205051,80363,,,7089,63.57,45.67,17.9,,15788,4370,0.973
Brunei,BRN,26/8/2021,,,,,,7036,,,,,15670,4349,0.969
Brunei,BRN,27/8/2021,295590,211108,84482,,,6982,65.83,47.02,18.82,,15550,4328,0.964
Brunei,BRN,28/8/2021,,,,,,6912,,,,,15394,4297,0.957
Brunei,BRN,29/8/2021,308219,219145,89074,,,6842,68.65,48.81,19.84,,15238,4267,0.95
Brunei,BRN,30/8/2021,,,,,,7270,,,,,16191,4553,1.014
Brunei,BRN,31/8/2021,327825,231613,96212,,,7365,73.01,51.58,21.43,,16403,4619,1.029
Brunei,BRN,1/9/2021,,,,,,6814,,,,,15176,3921,0.873
Brunei,BRN,2/9/2021,338399,233380,105019,,,6842,75.37,51.98,23.39,,15238,3614,0.805
Brunei,BRN,3/9/2021,,,,,,6630,,,,,14766,3244,0.722
Brunei,BRN,4/9/2021,345595,234255,111340,,,6242,76.97,52.17,24.8,,13902,2733,0.609
Brunei,BRN,5/9/2021,,,,,,5899,,,,,13138,2208,0.492
Brunei,BRN,6/9/2021,353428,234945,118483,,,5058,78.71,52.33,26.39,,11265,1367,0.304
Brunei,BRN,7/9/2021,,,,,,4499,,,,,10020,525,0.117
Brunei,BRN,8/9/2021,365203,235633,129570,,,4584,81.34,52.48,28.86,,10209,448,0.1
Brunei,BRN,9/9/2021,,,,,,4279,,,,,9530,349,0.078
Brunei,BRN,10/9/2021,371501,236009,135492,,,4215,82.74,52.56,30.18,,9387,313,0.07
Brunei,BRN,11/9/2021,,,,,,4208,,,,,9372,279,0.062
Brunei,BRN,12/9/2021,378598,236408,142190,,,4155,84.32,52.65,31.67,,9254,258,0.057
Brunei,BRN,13/9/2021,,,,,,4096,,,,,9122,252,0.056
Brunei,BRN,14/9/2021,385602,237015,148587,,,3755,85.88,52.79,33.09,,8363,247,0.055
Brunei,BRN,15/9/2021,,,,,,3620,,,,,8062,571,0.127
Brunei,BRN,16/9/2021,,,,,,3875,,,,,8630,919,0.205
Brunei,BRN,17/9/2021,,,,,,4130,,,,,9198,1266,0.282
Brunei,BRN,18/9/2021,405352,247487,157865,,,4329,90.28,55.12,35.16,,9641,1611,0.359
Brunei,BRN,19/9/2021,,,,,,4550,,,,,10134,2038,0.454
Brunei,BRN,20/9/2021,415538,253855,161683,,,4777,92.55,56.54,36.01,,10639,2449,0.545
Brunei,BRN,21/9/2021,,,,,,5515,,,,,12283,3058,0.681
Brunei,BRN,22/9/2021,432882,262982,169900,,,6049,96.41,58.57,37.84,,13472,3336,0.743
Brunei,BRN,23/9/2021,,,,,,6115,,,,,13619,3452,0.769
Brunei,BRN,24/9/2021,443676,269847,173829,,,6180,98.81,60.1,38.71,,13764,3568,0.795
Brunei,BRN,25/9/2021,,,,,,6309,,,,,14051,3701,0.824
Brunei,BRN,26/9/2021,455355,276935,178420,,,6416,101.41,61.68,39.74,,14289,3752,0.836
Brunei,BRN,27/9/2021,,,,,,7049,,,,,15699,3944,0.878
Brunei,BRN,28/9/2021,474407,285987,188420,,,7171,105.66,63.69,41.96,,15971,3938,0.877
Brunei,BRN,29/9/2021,,,,,,7302,,,,,16263,4070,0.906
Brunei,BRN,30/9/2021,493587,296963,196624,,,7901,109.93,66.14,43.79,,17597,4364,0.972
Brunei,BRN,1/10/2021,,,,,,7719,,,,,17191,4252,0.947
Brunei,BRN,2/10/2021,501834,302258,199576,,,7474,111.77,67.32,44.45,,16646,4124,0.918
Brunei,BRN,3/10/2021,,,,,,7392,,,,,16463,4200,0.935
Brunei,BRN,4/10/2021,512357,310416,201941,,,6782,114.11,69.13,44.98,,15105,4136,0.921
Brunei,BRN,5/10/2021,,,,,,6410,,,,,14276,4154,0.925
Brunei,BRN,6/10/2021,526193,319711,206482,,,6028,117.19,71.2,45.99,,13425,4034,0.898
Brunei,BRN,7/10/2021,,,,,,5166,,,,,11506,3596,0.801
Brunei,BRN,8/10/2021,533305,324564,208741,,,5085,118.78,72.29,46.49,,11325,3565,0.794
Brunei,BRN,9/10/2021,,,,,,5118,,,,,11399,3604,0.803
Brunei,BRN,10/10/2021,542019,330410,211609,,,4989,120.72,73.59,47.13,,11111,3439,0.766
Brunei,BRN,11/10/2021,,,,,,4969,,,,,11067,3231,0.72
Brunei,BRN,12/10/2021,552265,335650,216615,,,4713,123,74.75,48.24,,10497,2941,0.655
Brunei,BRN,13/10/2021,,,,,,4541,,,,,10114,2564,0.571
Brunei,BRN,14/10/2021,563695,339667,224028,,,4849,125.54,75.65,49.89,,10800,2504,0.558
Brunei,BRN,15/10/2021,,,,,,4897,,,,,10906,2325,0.518
Brunei,BRN,16/10/2021,,,,,,4831,,,,,10759,2074,0.462
Brunei,BRN,17/10/2021,,,,,,4765,,,,,10612,1823,0.406
Brunei,BRN,18/10/2021,579263,344342,234921,,,4589,129.01,76.69,52.32,,10220,1616,0.36
Brunei,BRN,19/10/2021,,,,,,4213,,,,,9383,1343,0.299
Brunei,BRN,20/10/2021,584245,345754,238491,,,3752,130.12,77.01,53.12,,8356,1156,0.257
Brunei,BRN,21/10/2021,,,,,,3219,,,,,7169,969,0.216
Brunei,BRN,22/10/2021,588206,347147,241059,,,2946,131,77.32,53.69,,6561,902,0.201
Brunei,BRN,23/10/2021,,,,,,2704,,,,,6022,851,0.19
Brunei,BRN,24/10/2021,592613,348782,243831,,,2463,131.98,77.68,54.31,,5485,801,0.178
Brunei,BRN,25/10/2021,,,,,,2346,,,,,5225,736,0.164
Brunei,BRN,26/10/2021,598758,350200,248558,,,2429,133.35,78,55.36,,5410,736,0.164
Brunei,BRN,27/10/2021,601042,350801,250241,,2284,2400,133.86,78.13,55.73,,5345,721,0.161
Brunei,BRN,28/10/2021,603923,351496,252427,,2881,2528,134.5,78.28,56.22,,5630,721,0.161
Brunei,BRN,29/10/2021,604662,351715,252947,,739,2351,134.67,78.33,56.34,,5236,653,0.145
Brunei,BRN,30/10/2021,607436,352709,254727,,2774,2432,135.29,78.55,56.73,,5416,678,0.151
Brunei,BRN,31/10/2021,,,,,,2568,,,,,5719,610,0.136
Brunei,BRN,1/11/2021,613737,353399,260338,,,2579,136.69,78.71,57.98,,5744,558,0.124
Brunei,BRN,2/11/2021,,,,,,3036,,,,,6762,497,0.111
Brunei,BRN,3/11/2021,626279,353961,272318,,,3605,139.48,78.83,60.65,,8029,451,0.1
Brunei,BRN,4/11/2021,,,,,,3666,,,,,8165,386,0.086
Brunei,BRN,5/11/2021,632896,354428,278468,,,4033,140.96,78.94,62.02,,8982,388,0.086
Brunei,BRN,6/11/2021,633464,354729,278735,,568,3718,141.08,79,62.08,,8281,289,0.064
Brunei,BRN,7/11/2021,640721,355420,285301,,7257,4305,142.7,79.16,63.54,,9588,338,0.075
Brunei,BRN,8/11/2021,643231,355752,287479,,2510,4213,143.26,79.23,64.03,,9383,336,0.075
Brunei,BRN,9/11/2021,649166,361215,287951,,5935,4165,144.58,80.45,64.13,,9276,1076,0.24
Brunei,BRN,10/11/2021,654487,366008,288479,,5321,4030,145.76,81.52,64.25,,8975,1721,0.383
Brunei,BRN,11/11/2021,661216,371184,290032,,6729,4518,147.26,82.67,64.59,,10062,2427,0.541
Brunei,BRN,12/11/2021,668251,376127,292124,,7035,5051,148.83,83.77,65.06,,11249,3100,0.69
Brunei,BRN,13/11/2021,673578,378120,295458,,5327,5731,150.02,84.21,65.8,,12764,3342,0.744
Brunei,BRN,14/11/2021,680757,381106,299651,,7179,5719,151.62,84.88,66.74,,12737,3669,0.817
Brunei,BRN,15/11/2021,684698,383195,301503,,3941,5924,152.49,85.34,67.15,,13194,3920,0.873
Brunei,BRN,16/11/2021,692315,387002,305313,,7617,6164,154.19,86.19,68,,13728,3684,0.82
Brunei,BRN,17/11/2021,699622,390657,308965,,7307,6448,155.82,87.01,68.81,,14361,3521,0.784
Brunei,BRN,18/11/2021,707278,394039,313239,,7656,6580,157.52,87.76,69.76,,14655,3265,0.727
Brunei,BRN,19/11/2021,715979,397298,318681,,8701,6818,159.46,88.48,70.98,,15185,3024,0.673
Brunei,BRN,20/11/2021,719100,398277,320823,,3121,6503,160.16,88.7,71.45,,14483,2880,0.641
Brunei,BRN,21/11/2021,726907,399834,327073,,7807,6593,161.89,89.05,72.84,,14684,2675,0.596
Brunei,BRN,22/11/2021,728626,400238,328388,,1719,6275,162.28,89.14,73.14,,13975,2435,0.542
Brunei,BRN,23/11/2021,734235,401091,333144,,5609,5989,163.53,89.33,74.2,,13338,2013,0.448
Brunei,BRN,24/11/2021,738282,401611,336671,,4047,5523,164.43,89.45,74.98,,12301,1565,0.349
Brunei,BRN,25/11/2021,,,,,,4862,,,,,10828,1140,0.254
Brunei,BRN,26/11/2021,744337,402428,341909,,,4051,165.78,89.63,76.15,,9022,733,0.163
Brunei,BRN,27/11/2021,744790,402574,342216,,453,3670,165.88,89.66,76.22,,8174,614,0.137
Brunei,BRN,28/11/2021,747384,402966,344418,,2594,2925,166.45,89.75,76.71,,6514,447,0.1
Brunei,BRN,29/11/2021,748008,403094,344914,,624,2769,166.59,89.78,76.82,,6167,408,0.091
Brunei,BRN,30/11/2021,751178,403405,347773,,3170,2420,167.3,89.84,77.45,,5390,331,0.074
Brunei,BRN,1/12/2021,752450,403675,348775,,1272,2024,167.58,89.9,77.68,,4508,295,0.066
Brunei,BRN,2/12/2021,753291,403874,349417,,841,1712,167.77,89.95,77.82,,3813,265,0.059
Brunei,BRN,3/12/2021,754293,404070,350223,,1002,1422,167.99,89.99,78,,3167,235,0.052
Brunei,BRN,4/12/2021,754589,404138,350451,,296,1400,168.06,90.01,78.05,,3118,223,0.05
Brunei,BRN,5/12/2021,756080,404371,351709,,1491,1242,168.39,90.06,78.33,,2766,201,0.045
Brunei,BRN,6/12/2021,756637,404451,352186,,557,1233,168.52,90.08,78.44,,2746,194,0.043
Brunei,BRN,7/12/2021,762161,404557,357604,,5524,1569,169.75,90.1,79.64,,3494,165,0.037
Brunei,BRN,8/12/2021,766929,404623,362306,,4768,2068,170.81,90.12,80.69,,4606,135,0.03
Brunei,BRN,9/12/2021,771983,404707,367276,,5054,2670,171.93,90.13,81.8,,5947,119,0.027
Brunei,BRN,10/12/2021,776846,404806,372040,,4863,3222,173.02,90.16,82.86,,7176,105,0.023
Brunei,BRN,11/12/2021,778921,404834,374087,,2075,3476,173.48,90.16,83.32,,7742,99,0.022
Brunei,BRN,12/12/2021,783549,404940,378609,,4628,3924,174.51,90.19,84.32,,8739,81,0.018
Brunei,BRN,13/12/2021,786679,404959,381720,,3130,4292,175.21,90.19,85.02,,9559,73,0.016
Brunei,BRN,14/12/2021,790506,405092,385414,,3827,4049,176.06,90.22,85.84,,9018,76,0.017
Brunei,BRN,15/12/2021,,,,,,4275,,,,,9521,74,0.016
Brunei,BRN,16/12/2021,,,,,,4460,,,,,9933,68,0.015
Brunei,BRN,17/12/2021,,,,,,4671,,,,,10403,61,0.014
Brunei,BRN,18/12/2021,,,,,,5282,,,,,11764,64,0.014
Brunei,BRN,19/12/2021,,,,,,5527,,,,,12310,55,0.012
Brunei,BRN,20/12/2021,,,,,,5987,,,,,13334,59,0.013
Brunei,BRN,21/12/2021,,,,,,6347,,,,,14136,47,0.01
Brunei,BRN,22/12/2021,,,,,,6347,,,,,14136,47,0.01
Brunei,BRN,23/12/2021,,,,,,6347,,,,,14136,47,0.01
Brunei,BRN,24/12/2021,,,,,,6347,,,,,14136,47,0.01
Brunei,BRN,25/12/2021,,,,,,6347,,,,,14136,47,0.01
Brunei,BRN,26/12/2021,,,,,,6347,,,,,14136,47,0.01
Brunei,BRN,27/12/2021,,,,,,6347,,,,,14136,47,0.01
Brunei,BRN,28/12/2021,,,,,,6347,,,,,14136,47,0.01
Brunei,BRN,29/12/2021,,,,,,6347,,,,,14136,47,0.01
Brunei,BRN,30/12/2021,,,,,,6347,,,,,14136,47,0.01
Brunei,BRN,31/12/2021,898401,405888,400691,,,6347,200.09,90.4,89.24,,14136,47,0.01
Brunei,BRN,1/1/2022,,,,,,5941,,,,,13232,46,0.01
Brunei,BRN,2/1/2022,,,,,,5535,,,,,12327,44,0.01
Brunei,BRN,3/1/2022,,,,,,5130,,,,,11425,43,0.01
Brunei,BRN,4/1/2022,,,,,,4724,,,,,10521,42,0.009
Brunei,BRN,5/1/2022,,,,,,4318,,,,,9617,40,0.009
Brunei,BRN,6/1/2022,,,,,,3913,,,,,8715,39,0.009
Brunei,BRN,7/1/2022,922950,406153,401757,,,3507,205.56,90.46,89.48,,7811,38,0.008
Brunei,BRN,8/1/2022,,,,118331,,3480,,,,26.35,7751,39,0.009
Brunei,BRN,9/1/2022,,,,,,3453,,,,,7690,40,0.009
Brunei,BRN,10/1/2022,,,,,,3426,,,,,7630,41,0.009
Brunei,BRN,11/1/2022,,,,,,3399,,,,,7570,43,0.01
Brunei,BRN,12/1/2022,,,,,,3371,,,,,7508,44,0.01
Brunei,BRN,13/1/2022,,,,,,3344,,,,,7448,45,0.01
Brunei,BRN,14/1/2022,946170,406475,402390,,,3317,210.73,90.53,89.62,,7387,46,0.01
Brunei,BRN,15/1/2022,,,,,,3230,,,,,7194,45,0.01
Brunei,BRN,16/1/2022,,,,,,3143,,,,,7000,45,0.01
Brunei,BRN,17/1/2022,,,,,,3056,,,,,6806,44,0.01
Brunei,BRN,18/1/2022,,,,,,2969,,,,,6612,44,0.01
Brunei,BRN,19/1/2022,,,,,,2883,,,,,6421,43,0.01
Brunei,BRN,20/1/2022,,,,,,2796,,,,,6227,42,0.009
Brunei,BRN,21/1/2022,965131,406768,403033,,,2709,214.95,90.59,89.76,,6033,42,0.009
Brunei,BRN,22/1/2022,,,,,,2611,,,,,5815,41,0.009
Brunei,BRN,23/1/2022,,,,,,2513,,,,,5597,41,0.009
Brunei,BRN,24/1/2022,,,,,,2414,,,,,5376,41,0.009
Brunei,BRN,25/1/2022,,,,,,2316,,,,,5158,40,0.009
Brunei,BRN,26/1/2022,,,,,,2218,,,,,4940,40,0.009
Brunei,BRN,27/1/2022,,,,,,2120,,,,,4722,40,0.009
Brunei,BRN,28/1/2022,979285,407042,403385,,,2022,218.1,90.65,89.84,,4503,39,0.009
Brunei,BRN,29/1/2022,,,,,,1997,,,,,4448,37,0.008
